4E00	CJK UNIFIED IDEOGRAPH-4E00
4E01	CJK UNIFIED IDEOGRAPH-4E01
4E02	CJK UNIFIED IDEOGRAPH-4E02
4E03	CJK UNIFIED IDEOGRAPH-4E03
4E04	CJK UNIFIED IDEOGRAPH-4E04
4E05	CJK UNIFIED IDEOGRAPH-4E05
4E06	CJK UNIFIED IDEOGRAPH-4E06
4E07	CJK UNIFIED IDEOGRAPH-4E07
4E08	CJK UNIFIED IDEOGRAPH-4E08
4E09	CJK UNIFIED IDEOGRAPH-4E09
4E0A	CJK UNIFIED IDEOGRAPH-4E0A
4E0B	CJK UNIFIED IDEOGRAPH-4E0B
4E0C	CJK UNIFIED IDEOGRAPH-4E0C
4E0D	CJK UNIFIED IDEOGRAPH-4E0D
4E0E	CJK UNIFIED IDEOGRAPH-4E0E
4E0F	CJK UNIFIED IDEOGRAPH-4E0F
4E10	CJK UNIFIED IDEOGRAPH-4E10
4E11	CJK UNIFIED IDEOGRAPH-4E11
4E12	CJK UNIFIED IDEOGRAPH-4E12
4E13	CJK UNIFIED IDEOGRAPH-4E13
4E14	CJK UNIFIED IDEOGRAPH-4E14
4E15	CJK UNIFIED IDEOGRAPH-4E15
4E16	CJK UNIFIED IDEOGRAPH-4E16
4E17	CJK UNIFIED IDEOGRAPH-4E17
4E18	CJK UNIFIED IDEOGRAPH-4E18
4E19	CJK UNIFIED IDEOGRAPH-4E19
4E1A	CJK UNIFIED IDEOGRAPH-4E1A
4E1B	CJK UNIFIED IDEOGRAPH-4E1B
4E1C	CJK UNIFIED IDEOGRAPH-4E1C
4E1D	CJK UNIFIED IDEOGRAPH-4E1D
4E1E	CJK UNIFIED IDEOGRAPH-4E1E
4E1F	CJK UNIFIED IDEOGRAPH-4E1F
4E20	CJK UNIFIED IDEOGRAPH-4E20
4E21	CJK UNIFIED IDEOGRAPH-4E21
4E22	CJK UNIFIED IDEOGRAPH-4E22
4E23	CJK UNIFIED IDEOGRAPH-4E23
4E24	CJK UNIFIED IDEOGRAPH-4E24
4E25	CJK UNIFIED IDEOGRAPH-4E25
4E26	CJK UNIFIED IDEOGRAPH-4E26
4E27	CJK UNIFIED IDEOGRAPH-4E27
4E28	CJK UNIFIED IDEOGRAPH-4E28
4E29	CJK UNIFIED IDEOGRAPH-4E29
4E2A	CJK UNIFIED IDEOGRAPH-4E2A
4E2B	CJK UNIFIED IDEOGRAPH-4E2B
4E2C	CJK UNIFIED IDEOGRAPH-4E2C
4E2D	CJK UNIFIED IDEOGRAPH-4E2D
4E2E	CJK UNIFIED IDEOGRAPH-4E2E
4E2F	CJK UNIFIED IDEOGRAPH-4E2F
4E30	CJK UNIFIED IDEOGRAPH-4E30
4E31	CJK UNIFIED IDEOGRAPH-4E31
4E32	CJK UNIFIED IDEOGRAPH-4E32
4E33	CJK UNIFIED IDEOGRAPH-4E33
4E34	CJK UNIFIED IDEOGRAPH-4E34
4E35	CJK UNIFIED IDEOGRAPH-4E35
4E36	CJK UNIFIED IDEOGRAPH-4E36
4E37	CJK UNIFIED IDEOGRAPH-4E37
4E38	CJK UNIFIED IDEOGRAPH-4E38
4E39	CJK UNIFIED IDEOGRAPH-4E39
4E3A	CJK UNIFIED IDEOGRAPH-4E3A
4E3B	CJK UNIFIED IDEOGRAPH-4E3B
4E3C	CJK UNIFIED IDEOGRAPH-4E3C
4E3D	CJK UNIFIED IDEOGRAPH-4E3D
4E3E	CJK UNIFIED IDEOGRAPH-4E3E
4E3F	CJK UNIFIED IDEOGRAPH-4E3F
4E40	CJK UNIFIED IDEOGRAPH-4E40
4E41	CJK UNIFIED IDEOGRAPH-4E41
4E42	CJK UNIFIED IDEOGRAPH-4E42
4E43	CJK UNIFIED IDEOGRAPH-4E43
4E44	CJK UNIFIED IDEOGRAPH-4E44
4E45	CJK UNIFIED IDEOGRAPH-4E45
