20000	CJK UNIFIED IDEOGRAPH-20000
20001	CJK UNIFIED IDEOGRAPH-20001
20002	CJK UNIFIED IDEOGRAPH-20002
20003	CJK UNIFIED IDEOGRAPH-20003
20004	CJK UNIFIED IDEOGRAPH-20004
20005	CJK UNIFIED IDEOGRAPH-20005
20006	CJK UNIFIED IDEOGRAPH-20006
20007	CJK UNIFIED IDEOGRAPH-20007
20008	CJK UNIFIED IDEOGRAPH-20008
20009	CJK UNIFIED IDEOGRAPH-20009
2000A	CJK UNIFIED IDEOGRAPH-2000A
2000B	CJK UNIFIED IDEOGRAPH-2000B
2000C	CJK UNIFIED IDEOGRAPH-2000C
2000D	CJK UNIFIED IDEOGRAPH-2000D
2000E	CJK UNIFIED IDEOGRAPH-2000E
2000F	CJK UNIFIED IDEOGRAPH-2000F
20010	CJK UNIFIED IDEOGRAPH-20010
20011	CJK UNIFIED IDEOGRAPH-20011
20012	CJK UNIFIED IDEOGRAPH-20012
20013	CJK UNIFIED IDEOGRAPH-20013
20014	CJK UNIFIED IDEOGRAPH-20014
20015	CJK UNIFIED IDEOGRAPH-20015
20016	CJK UNIFIED IDEOGRAPH-20016
20017	CJK UNIFIED IDEOGRAPH-20017
20018	CJK UNIFIED IDEOGRAPH-20018
20019	CJK UNIFIED IDEOGRAPH-20019
2001A	CJK UNIFIED IDEOGRAPH-2001A
2001B	CJK UNIFIED IDEOGRAPH-2001B
2001C	CJK UNIFIED IDEOGRAPH-2001C
2001D	CJK UNIFIED IDEOGRAPH-2001D
2001E	CJK UNIFIED IDEOGRAPH-2001E
2001F	CJK UNIFIED IDEOGRAPH-2001F
20020	CJK UNIFIED IDEOGRAPH-20020
20021	CJK UNIFIED IDEOGRAPH-20021
20022	CJK UNIFIED IDEOGRAPH-20022
20023	CJK UNIFIED IDEOGRAPH-20023
20024	CJK UNIFIED IDEOGRAPH-20024
20025	CJK UNIFIED IDEOGRAPH-20025
20026	CJK UNIFIED IDEOGRAPH-20026
20027	CJK UNIFIED IDEOGRAPH-20027
20028	CJK UNIFIED IDEOGRAPH-20028
20029	CJK UNIFIED IDEOGRAPH-20029
2002A	CJK UNIFIED IDEOGRAPH-2002A
2002B	CJK UNIFIED IDEOGRAPH-2002B
2002C	CJK UNIFIED IDEOGRAPH-2002C
2002D	CJK UNIFIED IDEOGRAPH-2002D
2002E	CJK UNIFIED IDEOGRAPH-2002E
2002F	CJK UNIFIED IDEOGRAPH-2002F
20030	CJK UNIFIED IDEOGRAPH-20030
20031	CJK UNIFIED IDEOGRAPH-20031
20032	CJK UNIFIED IDEOGRAPH-20032
20033	CJK UNIFIED IDEOGRAPH-20033
20034	CJK UNIFIED IDEOGRAPH-20034
20035	CJK UNIFIED IDEOGRAPH-20035
20036	CJK UNIFIED IDEOGRAPH-20036
20037	CJK UNIFIED IDEOGRAPH-20037
20038	CJK UNIFIED IDEOGRAPH-20038
20039	CJK UNIFIED IDEOGRAPH-20039
2003A	CJK UNIFIED IDEOGRAPH-2003A
2003B	CJK UNIFIED IDEOGRAPH-2003B
2003C	CJK UNIFIED IDEOGRAPH-2003C
2003D	CJK UNIFIED IDEOGRAPH-2003D
2003E	CJK UNIFIED IDEOGRAPH-2003E
2003F	CJK UNIFIED IDEOGRAPH-2003F
20040	CJK UNIFIED IDEOGRAPH-20040
20041	CJK UNIFIED IDEOGRAPH-20041
20042	CJK UNIFIED IDEOGRAPH-20042
